Core Gene,Gene Set (Full)
cntO / zrmA ,"PA5535, PA4065, PA4837, PA4834, PA4836, PA5536, PA5540, PA1922, PA4835, PA0781"
sodA / sodM,"PA4467, PA4570, PA4468, PA2034, PA4469, PA4471, PA2033, PA3407, PA4470, PA0672"
pchE ,"PA4228, PA4231, PA4226, PA4218, PA4225, PA4230, PA4221, PA4229, PA4224, PA4223"
fptA ,"PA4229, PA4231, PA4221, PA4225, PA4228, PA4224, PA4223, PA4220, PA4230, PA4226"
pvdA ,"PA2412, PA2413, PA2386, PA2394, PA2395, PA2397, PA2411, PA2385, PA2396, PA2427"
pchF,"PA4224, PA4228, PA4225, PA4229, PA4226, PA4230, PA4221, PA4218, PA4231, PA4223"
pvdL,"PA2395, PA2424, PA2385, PA2394, PA2452, PA2425, PA2412, PA2402, PA2411, PA2413"
fumC2,"PA1323, PA2071, PA0853, PA3691, PA5483, PA3692, PA0854, PA4972, PA4876, PA1324"
pvdI,"PA2400, PA2393, PA2402, PA2394, PA2401, PA2399, PA2385, PA2411, PA2424, PA2413 "
pvdD,"PA2397, PA2392, PA2399, PA2386, PA2400, PA2402, PA2398, PA2427, PA2401, PA2396"
pvdJ ,"PA2402, PA2396, PA2400, PA2427, PA2401, PA2392, PA2398, PA2386, PA2399, PA2397"
prs,"PA4670, PA1800, PA4671, PA4432, PA4244, PA4240, PA4243, PA0579, PA4433, PA4239"
tpiA,"PA2970, PA4746, PA4748, PA2971, PA4276, PA3744, PA1800, PA3745, PA3743, PA4747"
vgrG1c / vgrG4,"PA0080, PA0086, PA2685, PA0085, PA2684, PA0088, PA0082, PA0076, PA0087, PA0084"
norB,"PA0521, PA0520, PA0524, PA0514, PA0523, PA3391, PA3393, PA3394, PA0525, PA3392"
ispE / ipk / ychB,"PA5128, PA0767, PA0904, PA5045, PA4669, PA3471, PA2627, PA5362, PA4449, PA4459"
yidC,"PA5568, PA4480, PA4665, PA4563, PA4932, PA0380, PA3827, PA3821, PA3820, PA3822"
psrA,"PA3013, PA0506, PA3006, PA3014, PA2953"
secY,"PA4262, PA1800, PA4243, PA4245, PA4239, PA4257, PA4273, PA4265, PA4244, PA4247"
oprI,"PA2742, PA1592, PA2853, PA0456, PA1777, PA5253, PA0376, PA2966, PA4922, PA2738"
oprF,"PA2743, PA1802, PA1777, PA4265, PA2742, PA4922, PA0139, PA4237, PA2853, PA4407"
groEL / groL / mopA,"PA4762, PA1589, PA4385, PA5556, PA4386, PA5054, PA4269, PA2952, PA4761, PA1596"
pilA / fimA ,"PA2730, PA4527, PA4525, PA2732, PA2731, PA2735, PA2736, PA1939, PA2733, PA2734"
dnaK ,"PA5054, PA0779, PA4761, PA5053, PA4762, PA4760, PA4542, PA4386, PA1596, PA4385"
clpB ,"PA1596, PA4762, PA4542, PA4387, PA4761, PA0779, PA5054, PA3126, PA5053, PA4760"
algU / algT,"PA1592, PA0762, PA5261, PA0763, PA2621, PA0833, PA3031, PA3385, PA3819, PA2738"
clpA,"PA3349, PA2620, PA1802, PA2622, PA2621, PA0763, PA1728, PA1454, PA2586, PA4751"
arcD,"PA5427, PA4067, PA5170, PA3337, PA5171, PA1789, PA4352, PA4328, PA5172, PA5173"
fliC,"PA1093, PA1086, PA1092, PA1089, PA1095, PA1087, PA1088, PA1090, PA1094, PA1096"
PA5178,"PA5060, PA2622, PA5178, PA5288, PA0329, PA3040, PA3031, PA5212, PA1592, PA4607"
icd,"PA2951, PA1580, PA2623, PA5013, PA1777, PA2952, PA4407, PA4944, PA4751, PA1583"
arcA,"PA5170, PA4352, PA5171, PA3309, PA5172, PA5427, PA1789, PA0141, PA5173, PA4067"
mucA,"PA2853, PA0764, PA0762, PA0763, PA2620, PA3385, PA1777, PA1592, PA5261, PA3819"
htpG,"PA4761, PA4760, PA1596, PA4542, PA4762, PA0779, PA4385, PA4061, PA5054, PA5053"
lon,"PA4751, PA4943, PA1803, PA4386, PA1802, PA3813, PA1847, PA4944, PA4385, PA4761"